[785, 0.001018524169921875]
[786, 0.0010256767272949219]
[787, 0.0010211467742919922]
[788, 0.0010094642639160156]
[789, 0.0010271072387695312]
[790, 0.0010254383087158203]
[791, 0.0010149478912353516]
[792, 0.0010504722595214844]
[793, 0.0010309219360351562]
[794, 0.0010411739349365234]
[795, 0.001043081283569336]
[796, 0.0010187625885009766]
[797, 0.0010373592376708984]
[798, 0.001024484634399414]
[799, 0.0010254383087158203]
[800, 0.0010292530059814453]
[801, 0.0010445117950439453]
[802, 0.0010259151458740234]
[803, 0.0010440349578857422]
[804, 0.0010442733764648438]
[805, 0.001043558120727539]
[806, 0.0010275840759277344]
[807, 0.0010979175567626953]
[808, 0.001123189926147461]
[809, 0.001047372817993164]
[810, 0.0010457038879394531]
[811, 0.0010540485382080078]
[812, 0.0010378360748291016]
[813, 0.0010573863983154297]
[814, 0.0011453628540039062]
[815, 0.0010578632354736328]
[816, 0.0010466575622558594]
[817, 0.0010600090026855469]
[818, 0.0010442733764648438]
[819, 0.0010771751403808594]
[820, 0.0011343955993652344]
[821, 0.001077890396118164]
[822, 0.0010533332824707031]
[823, 0.0011272430419921875]
[824, 0.0010581016540527344]
[825, 0.0010662078857421875]
[826, 0.0010552406311035156]
[827, 0.0010578632354736328]
[828, 0.0010590553283691406]
[829, 0.0010709762573242188]
[830, 0.0010902881622314453]
[831, 0.0010640621185302734]
[832, 0.0010693073272705078]
[833, 0.00106048583984375]
[834, 0.001064300537109375]
[835, 0.0010766983032226562]
[836, 0.0010707378387451172]
[837, 0.0010690689086914062]
[838, 0.0010690689086914062]
[839, 0.001074075698852539]
[840, 0.0010733604431152344]
[841, 0.0010869503021240234]
[842, 0.0010883808135986328]
[843, 0.0010724067687988281]
[844, 0.0010769367218017578]
[845, 0.0010852813720703125]
[846, 0.001079559326171875]
[847, 0.0010814666748046875]
[848, 0.0010857582092285156]
[849, 0.0011072158813476562]
[850, 0.0010869503021240234]
[851, 0.001088857650756836]
[852, 0.0010952949523925781]
[853, 0.0010836124420166016]
[854, 0.0010914802551269531]
[855, 0.0012822151184082031]
[856, 0.00109100341796875]
[857, 0.0010936260223388672]
[858, 0.0010952949523925781]
[859, 0.0011072158813476562]
[860, 0.0010995864868164062]
[861, 0.0011010169982910156]
[862, 0.0011031627655029297]
[863, 0.0011470317840576172]
[864, 0.001104593276977539]
[865, 0.0011289119720458984]
[866, 0.0011165142059326172]
[867, 0.0011060237884521484]
[868, 0.0011076927185058594]
[869, 0.00110626220703125]
[870, 0.0011167526245117188]
[871, 0.0011150836944580078]
[872, 0.0011129379272460938]
[873, 0.0011227130889892578]
[874, 0.0011322498321533203]
[875, 0.0011196136474609375]
[876, 0.0011191368103027344]
[877, 0.0011258125305175781]
[878, 0.0011298656463623047]
[879, 0.0011217594146728516]
[880, 0.0011224746704101562]
[881, 0.0011322498321533203]
[882, 0.0011446475982666016]
[883, 0.0011258125305175781]
[884, 0.0011272430419921875]
[885, 0.0011394023895263672]
[886, 0.00118255615234375]
[887, 0.0011386871337890625]
[888, 0.0011401176452636719]
[889, 0.0011341571807861328]
[890, 0.0013492107391357422]
[891, 0.0011529922485351562]
[892, 0.0011396408081054688]
[893, 0.001146554946899414]
[894, 0.001172780990600586]
[895, 0.0011429786682128906]
[896, 0.0011355876922607422]
[897, 0.0011458396911621094]
[898, 0.001155853271484375]
[899, 0.0011508464813232422]
[900, 0.0011458396911621094]
[901, 0.0011470317840576172]
[902, 0.0011534690856933594]
[903, 0.0011501312255859375]
[904, 0.0011601448059082031]
[905, 0.0011553764343261719]
[906, 0.0011630058288574219]
[907, 0.0011577606201171875]
[908, 0.0013246536254882812]
[909, 0.0011696815490722656]
[910, 0.0011630058288574219]
[911, 0.0011718273162841797]
[912, 0.0011599063873291016]
[913, 0.0011639595031738281]
[914, 0.0011653900146484375]
[915, 0.0012173652648925781]
[916, 0.001168966293334961]
[917, 0.0011730194091796875]
[918, 0.001171112060546875]
[919, 0.0011816024780273438]
[920, 0.0011754035949707031]
[921, 0.001176595687866211]
[922, 0.0011780261993408203]
[923, 0.0011873245239257812]
