[130, 0.0008416175842285156]
[131, 0.0008819103240966797]
[132, 0.0005285739898681641]
[133, 0.0004875659942626953]
[134, 0.0005347728729248047]
[135, 0.0005345344543457031]
[136, 0.00055694580078125]
[137, 0.0005133152008056641]
[138, 0.0005617141723632812]
[139, 0.0005512237548828125]
[140, 0.0005664825439453125]
[141, 0.0005762577056884766]
[142, 0.0005283355712890625]
[143, 0.0005958080291748047]
[144, 0.0007262229919433594]
[145, 0.0005614757537841797]
[146, 0.0005822181701660156]
[147, 0.000621795654296875]
[148, 0.0005543231964111328]
[149, 0.0006420612335205078]
[150, 0.0005762577056884766]
[151, 0.0006041526794433594]
[152, 0.0006148815155029297]
[153, 0.0006132125854492188]
[154, 0.0006148815155029297]
[155, 0.0006606578826904297]
[156, 0.0005924701690673828]
[157, 0.0006465911865234375]
[158, 0.0006165504455566406]
[159, 0.0006327629089355469]
[160, 0.00066375732421875]
[161, 0.0006742477416992188]
[162, 0.0008165836334228516]
[163, 0.0007076263427734375]
[164, 0.0006685256958007812]
[165, 0.0006515979766845703]
[166, 0.0006945133209228516]
[167, 0.0007052421569824219]
[168, 0.0006926059722900391]
[169, 0.0007145404815673828]
[170, 0.0007171630859375]
[171, 0.0006732940673828125]
[172, 0.0007841587066650391]
[173, 0.0007603168487548828]
[174, 0.0007054805755615234]
[175, 0.0007567405700683594]
[176, 0.0007476806640625]
[177, 0.0009031295776367188]
[178, 0.0007796287536621094]
[179, 0.0007867813110351562]
[180, 0.0007960796356201172]
[181, 0.0007581710815429688]
[182, 0.0007746219635009766]
[183, 0.0007278919219970703]
[184, 0.0007915496826171875]
[185, 0.00078582763671875]
[186, 0.0007884502410888672]
[187, 0.0007512569427490234]
[188, 0.0008108615875244141]
[189, 0.0008518695831298828]
[190, 0.0008285045623779297]
[191, 0.0010020732879638672]
[192, 0.0008103847503662109]
[193, 0.0008449554443359375]
[194, 0.0008292198181152344]
[195, 0.0008435249328613281]
[196, 0.0008943080902099609]
[197, 0.0008530616760253906]
[198, 0.0008711814880371094]
[199, 0.0008728504180908203]
[200, 0.0008587837219238281]
[201, 0.0008709430694580078]
[202, 0.0008864402770996094]
[203, 0.0008676052093505859]
[204, 0.0009493827819824219]
[205, 0.0009143352508544922]
[206, 0.0009043216705322266]
[207, 0.000911712646484375]
[208, 0.0009205341339111328]
[209, 0.0009307861328125]
[210, 0.0008997917175292969]
[211, 0.0009047985076904297]
[212, 0.0009095668792724609]
[213, 0.0009300708770751953]
[214, 0.0011188983917236328]
[215, 0.0010764598846435547]
[216, 0.0009813308715820312]
[217, 0.0009584426879882812]
[218, 0.0009462833404541016]
[219, 0.0009572505950927734]
[220, 0.0009832382202148438]
[221, 0.0009989738464355469]
[222, 0.0010485649108886719]
[223, 0.001298666000366211]
[224, 0.0010769367218017578]
[225, 0.0010251998901367188]
[226, 0.0012652873992919922]
[227, 0.0010666847229003906]
[228, 0.0013420581817626953]
[229, 0.0016891956329345703]
[230, 0.0010945796966552734]
[231, 0.0010340213775634766]
[232, 0.0010406970977783203]
[233, 0.001035928726196289]
[234, 0.0010516643524169922]
[235, 0.0013432502746582031]
[236, 0.0010595321655273438]
[237, 0.0010905265808105469]
[238, 0.0010826587677001953]
[239, 0.00109100341796875]
[240, 0.0010728836059570312]
[241, 0.0010831356048583984]
[242, 0.0011076927185058594]
[243, 0.0011415481567382812]
[244, 0.0011208057403564453]
[245, 0.0016527175903320312]
[246, 0.0010793209075927734]
[247, 0.0011181831359863281]
[248, 0.0011434555053710938]
[249, 0.0011472702026367188]
[250, 0.0011353492736816406]
[251, 0.0011725425720214844]
[252, 0.0011293888092041016]
[253, 0.0011310577392578125]
[254, 0.0012710094451904297]
[255, 0.0011661052703857422]
[256, 0.0011548995971679688]
[257, 0.0011734962463378906]
[258, 0.0011687278747558594]
[259, 0.0011501312255859375]
[260, 0.0011839866638183594]
[261, 0.0011963844299316406]
[262, 0.0012030601501464844]
[263, 0.0012919902801513672]
[264, 0.0012958049774169922]
[265, 0.0012102127075195312]
[266, 0.001203775405883789]
[267, 0.0013015270233154297]
[268, 0.0012295246124267578]
[269, 0.0012226104736328125]
[270, 0.0012385845184326172]
[271, 0.0018281936645507812]
[272, 0.0016040802001953125]
[273, 0.0012531280517578125]
[274, 0.0012590885162353516]
[275, 0.001252889633178711]
[276, 0.0012669563293457031]
[277, 0.0012993812561035156]
[278, 0.0012695789337158203]
[279, 0.0016448497772216797]
[280, 0.001384735107421875]
[281, 0.0013689994812011719]
[282, 0.0012831687927246094]
[283, 0.0012989044189453125]
[284, 0.0015370845794677734]
[285, 0.0013549327850341797]
[286, 0.0013074874877929688]
[287, 0.0014944076538085938]
[288, 0.0013833045959472656]
[289, 0.0013513565063476562]
[290, 0.0013608932495117188]
[291, 0.0018122196197509766]
[292, 0.001352071762084961]
[293, 0.0013637542724609375]
[294, 0.0016887187957763672]
[295, 0.0015826225280761719]
[296, 0.0014429092407226562]
[297, 0.002386331558227539]
[298, 0.001375436782836914]
[299, 0.0014393329620361328]
[300, 0.0014019012451171875]
[301, 0.0017478466033935547]
[302, 0.001439809799194336]
[303, 0.0014371871948242188]
[304, 0.0015079975128173828]
[305, 0.0014526844024658203]
[306, 0.0014543533325195312]
[307, 0.0014874935150146484]
[308, 0.0017750263214111328]
[309, 0.0014946460723876953]
[310, 0.0014584064483642578]
[311, 0.0014715194702148438]
[312, 0.0016553401947021484]
[313, 0.0017237663269042969]
[314, 0.0014836788177490234]
[315, 0.0020873546600341797]
[316, 0.001560211181640625]
[317, 0.0015609264373779297]
[318, 0.0015709400177001953]
[319, 0.0021474361419677734]
[320, 0.0016279220581054688]
[321, 0.001537322998046875]
[322, 0.0018796920776367188]
[323, 0.0015475749969482422]
[324, 0.0015490055084228516]
[325, 0.0016362667083740234]
[326, 0.001680135726928711]
[327, 0.0016694068908691406]
[328, 0.001954793930053711]
[329, 0.0017046928405761719]
[330, 0.0016336441040039062]
[331, 0.0017664432525634766]
[332, 0.0018286705017089844]
[333, 0.0016684532165527344]
[334, 0.0016601085662841797]
[335, 0.0017905235290527344]
[336, 0.0016758441925048828]
[337, 0.0016770362854003906]
[338, 0.001657247543334961]
[339, 0.002279520034790039]
[340, 0.0016803741455078125]
[341, 0.001802206039428711]
[342, 0.0017476081848144531]
[343, 0.0017316341400146484]
[344, 0.0017452239990234375]
[345, 0.001725912094116211]
[346, 0.0017578601837158203]
[347, 0.001973390579223633]
[348, 0.0017504692077636719]
[349, 0.001806497573852539]
[350, 0.001779317855834961]
[351, 0.0017712116241455078]
[352, 0.00182342529296875]
[353, 0.0020012855529785156]
[354, 0.0017626285552978516]
[355, 0.0017800331115722656]
[356, 0.0018186569213867188]
[357, 0.0017795562744140625]
[358, 0.0018382072448730469]
[359, 0.0025835037231445312]
[360, 0.001821279525756836]
[361, 0.0019116401672363281]
[362, 0.0018644332885742188]
[363, 0.0018773078918457031]
[364, 0.002239704132080078]
[365, 0.0019083023071289062]
[366, 0.0019099712371826172]
[367, 0.002009868621826172]
[368, 0.002566099166870117]
[369, 0.0019779205322265625]
[370, 0.0020470619201660156]
[371, 0.0019676685333251953]
[372, 0.0019745826721191406]
[373, 0.0018923282623291016]
[374, 0.0018949508666992188]
[375, 0.0023632049560546875]
[376, 0.0021796226501464844]
[377, 0.002033233642578125]
[378, 0.0019001960754394531]
[379, 0.0019016265869140625]
[380, 0.001920938491821289]
[381, 0.002000570297241211]
[382, 0.0019164085388183594]
[383, 0.0019752979278564453]
[384, 0.0025680065155029297]
[385, 0.0019497871398925781]
[386, 0.0023131370544433594]
[387, 0.0019893646240234375]
[388, 0.0020105838775634766]
[389, 0.0019931793212890625]
[390, 0.0019981861114501953]
[391, 0.002232789993286133]
[392, 0.0020508766174316406]
[393, 0.002048015594482422]
[394, 0.0026361942291259766]
[395, 0.002176046371459961]
[396, 0.002012014389038086]
[397, 0.0020821094512939453]
[398, 0.0020856857299804688]
[399, 0.0020818710327148438]
[400, 0.0021615028381347656]
[401, 0.0021038055419921875]
[402, 0.0024352073669433594]
[403, 0.002113819122314453]
[404, 0.002084016799926758]
[405, 0.0021162033081054688]
[406, 0.0021445751190185547]
[407, 0.002465486526489258]
[408, 0.002134561538696289]
[409, 0.0021352767944335938]
[410, 0.0021369457244873047]
[411, 0.002145528793334961]
[412, 0.002908945083618164]
[413, 0.002125263214111328]
[414, 0.002168416976928711]
[415, 0.002157449722290039]
[416, 0.0022385120391845703]
[417, 0.002620220184326172]
[418, 0.0022182464599609375]
[419, 0.0024018287658691406]
[420, 0.002311229705810547]
[421, 0.002203226089477539]
[422, 0.0026323795318603516]
[423, 0.002216815948486328]
[424, 0.00225067138671875]
[425, 0.002229928970336914]
[426, 0.00296783447265625]
[427, 0.002463102340698242]
[428, 0.002236604690551758]
[429, 0.002247333526611328]
[430, 0.002283811569213867]
[431, 0.0022683143615722656]
[432, 0.002403736114501953]
[433, 0.002337217330932617]
[434, 0.002355813980102539]
[435, 0.002317667007446289]
[436, 0.002644777297973633]
[437, 0.0023522377014160156]
[438, 0.0023567676544189453]
[439, 0.0024733543395996094]
[440, 0.0024023056030273438]
[441, 0.0026578903198242188]
[442, 0.0029168128967285156]
[443, 0.002459287643432617]
[444, 0.0023851394653320312]
[445, 0.002427339553833008]
[446, 0.0025310516357421875]
[447, 0.002453327178955078]
[448, 0.002428293228149414]
[449, 0.0024340152740478516]
[450, 0.002816915512084961]
[451, 0.002557992935180664]
[452, 0.002466440200805664]
[453, 0.002410888671875]
[454, 0.0024499893188476562]
[455, 0.0026366710662841797]
[456, 0.0024993419647216797]
[457, 0.0026285648345947266]
[458, 0.0031228065490722656]
[459, 0.0028879642486572266]
[460, 0.0025141239166259766]
[461, 0.002637624740600586]
[462, 0.002534151077270508]
[463, 0.0028557777404785156]
[464, 0.0025217533111572266]
[465, 0.0026297569274902344]
[466, 0.0025272369384765625]
[467, 0.002566814422607422]
[468, 0.002881288528442383]
[469, 0.002538919448852539]
[470, 0.0025653839111328125]
[471, 0.0028777122497558594]
[472, 0.00298309326171875]
[473, 0.0026094913482666016]
[474, 0.0025968551635742188]
[475, 0.002607583999633789]
[476, 0.0030100345611572266]
[477, 0.0026235580444335938]
[478, 0.0026078224182128906]
[479, 0.002604246139526367]
[480, 0.0026123523712158203]
[481, 0.0027077198028564453]
[482, 0.002675771713256836]
[483, 0.0027434825897216797]
[484, 0.0030281543731689453]
[485, 0.002844572067260742]
[486, 0.0027446746826171875]
[487, 0.0026755332946777344]
[488, 0.002757549285888672]
[489, 0.003050088882446289]
[490, 0.0027074813842773438]
[491, 0.0027322769165039062]
[492, 0.002811431884765625]
[493, 0.0030651092529296875]
[494, 0.0027289390563964844]
[495, 0.0028197765350341797]
[496, 0.0027480125427246094]
[497, 0.003198862075805664]
[498, 0.0034198760986328125]
[499, 0.002852201461791992]
[500, 0.0028264522552490234]
[501, 0.003245115280151367]
[502, 0.0028748512268066406]
[503, 0.002920866012573242]
[504, 0.0028657913208007812]
[505, 0.0031478404998779297]
[506, 0.002845287322998047]
[507, 0.0036454200744628906]
[508, 0.002973794937133789]
[509, 0.003049612045288086]
[510, 0.0028815269470214844]
[511, 0.0034720897674560547]
[512, 0.0033388137817382812]
[513, 0.002962827682495117]
[514, 0.0029001235961914062]
[515, 0.0029125213623046875]
[516, 0.003231525421142578]
[517, 0.0030052661895751953]
[518, 0.0029268264770507812]
[519, 0.0035331249237060547]
[520, 0.003265380859375]
[521, 0.003000974655151367]
[522, 0.00312042236328125]
[523, 0.003568887710571289]
[524, 0.0050432682037353516]
[525, 0.004102945327758789]
[526, 0.004561662673950195]
[527, 0.003122568130493164]
[528, 0.0031549930572509766]
[529, 0.0032167434692382812]
[530, 0.003584146499633789]
[531, 0.0031707286834716797]
[532, 0.0032677650451660156]
[533, 0.0034935474395751953]
[534, 0.0032782554626464844]
[535, 0.0032067298889160156]
[536, 0.003232717514038086]
[537, 0.0035173892974853516]
[538, 0.003356456756591797]
[539, 0.003258228302001953]
[540, 0.003387451171875]
[541, 0.0032405853271484375]
[542, 0.0032291412353515625]
[543, 0.003493785858154297]
[544, 0.003566741943359375]
[545, 0.004401683807373047]
[546, 0.004500150680541992]
[547, 0.003670930862426758]
[548, 0.003318309783935547]
[549, 0.0033054351806640625]
[550, 0.00363922119140625]
[551, 0.0032601356506347656]
[552, 0.0033147335052490234]
[553, 0.0032830238342285156]
[554, 0.0035572052001953125]
[555, 0.003249645233154297]
[556, 0.003382444381713867]
[557, 0.0038297176361083984]
[558, 0.003383636474609375]
[559, 0.003372669219970703]
[560, 0.0035347938537597656]
[561, 0.003672361373901367]
[562, 0.003445148468017578]
[563, 0.003470897674560547]
[564, 0.0037164688110351562]
[565, 0.0034236907958984375]
[566, 0.003622770309448242]
[567, 0.003611326217651367]
[568, 0.0037937164306640625]
[569, 0.0036156177520751953]
[570, 0.004030942916870117]
[571, 0.004520416259765625]
[572, 0.004597663879394531]
[573, 0.0036787986755371094]
[574, 0.0035741329193115234]
[575, 0.0035614967346191406]
[576, 0.0035219192504882812]
[577, 0.004239559173583984]
[578, 0.004526376724243164]
[579, 0.003663301467895508]
[580, 0.0035398006439208984]
[581, 0.003618478775024414]
[582, 0.0037641525268554688]
[583, 0.003567934036254883]
[584, 0.003561258316040039]
[585, 0.003597259521484375]
[586, 0.0037827491760253906]
[587, 0.0036683082580566406]
[588, 0.0035369396209716797]
[589, 0.0039920806884765625]
[590, 0.0037326812744140625]
[591, 0.0036458969116210938]
[592, 0.0038018226623535156]
[593, 0.0035371780395507812]
[594, 0.003574848175048828]
[595, 0.003603696823120117]
[596, 0.0036025047302246094]
[597, 0.0036411285400390625]
[598, 0.004229307174682617]
[599, 0.0038366317749023438]
[600, 0.0037841796875]
[601, 0.0036377906799316406]
[602, 0.003824949264526367]
[603, 0.003624439239501953]
[604, 0.003760099411010742]
[605, 0.003968954086303711]
[606, 0.0037980079650878906]
[607, 0.005106687545776367]
[608, 0.0046024322509765625]
[609, 0.0036897659301757812]
[610, 0.003776073455810547]
[611, 0.0040132999420166016]
[612, 0.003841400146484375]
[613, 0.0038318634033203125]
[614, 0.003961086273193359]
[615, 0.0038378238677978516]
[616, 0.0038290023803710938]
[617, 0.004487276077270508]
[618, 0.0041468143463134766]
[619, 0.003793478012084961]
[620, 0.0040073394775390625]
[621, 0.003838062286376953]
[622, 0.0038089752197265625]
[623, 0.003980875015258789]
[624, 0.0038881301879882812]
[625, 0.0038537979125976562]
[626, 0.0040323734283447266]
[627, 0.0039215087890625]
[628, 0.004421234130859375]
[629, 0.004114866256713867]
[630, 0.004871845245361328]
[631, 0.003881692886352539]
[632, 0.004072666168212891]
[633, 0.003949642181396484]
[634, 0.0039196014404296875]
[635, 0.0040836334228515625]
[636, 0.003993034362792969]
[637, 0.004003286361694336]
[638, 0.004189491271972656]
[639, 0.003957033157348633]
[640, 0.003968477249145508]
[641, 0.004124879837036133]
[642, 0.003951311111450195]
[643, 0.004095792770385742]
[644, 0.004244804382324219]
[645, 0.004155635833740234]
[646, 0.004258871078491211]
[647, 0.004267454147338867]
[648, 0.0040302276611328125]
[649, 0.004038333892822266]
[650, 0.0042192935943603516]
[651, 0.004182100296020508]
[652, 0.004178524017333984]
[653, 0.004384040832519531]
[654, 0.004125118255615234]
[655, 0.004631519317626953]
[656, 0.004199028015136719]
[657, 0.004132509231567383]
[658, 0.0047588348388671875]
[659, 0.0041506290435791016]
[660, 0.00414729118347168]
[661, 0.0044307708740234375]
[662, 0.004282236099243164]
[663, 0.004270315170288086]
[664, 0.005038738250732422]
[665, 0.00435328483581543]
[666, 0.004271984100341797]
[667, 0.004476785659790039]
[668, 0.004302024841308594]
[669, 0.0043299198150634766]
[670, 0.004376411437988281]
[671, 0.004319667816162109]
[672, 0.004515647888183594]
[673, 0.0049016475677490234]
[674, 0.00585174560546875]
[675, 0.007210969924926758]
[676, 0.004628181457519531]
[677, 0.004808902740478516]
[678, 0.004360198974609375]
[679, 0.004544734954833984]
[680, 0.0043027400970458984]
[681, 0.004374027252197266]
[682, 0.004446506500244141]
[683, 0.004364967346191406]
[684, 0.004334211349487305]
[685, 0.004462242126464844]
[686, 0.004559040069580078]
[687, 0.004387378692626953]
[688, 0.004538059234619141]
[689, 0.004486083984375]
