[0, 0.0]
[115, 0.0030019283294677734]
[116, 0.0030019283294677734]
[117, 0.0025031566619873047]
[118, 0.004000425338745117]
[119, 0.0035011768341064453]
[120, 0.0030035972595214844]
[121, 0.0035033226013183594]
[122, 0.0035033226013183594]
[123, 0.0035016536712646484]
[124, 0.004002809524536133]
[125, 0.0025005340576171875]
[126, 0.0025017261505126953]
[127, 0.0035026073455810547]
[128, 0.0025017261505126953]
[129, 0.0020012855529785156]
[130, 0.002500772476196289]
[131, 0.003002166748046875]
[132, 0.003002643585205078]
[133, 0.0025022029876708984]
[134, 0.0025017261505126953]
[135, 0.0030014514923095703]
[136, 0.0025010108947753906]
[137, 0.003503084182739258]
[138, 0.00400233268737793]
[139, 0.003002166748046875]
[140, 0.0025010108947753906]
[141, 0.003002166748046875]
[142, 0.003003358840942383]
[143, 0.0030007362365722656]
[144, 0.003002643585205078]
[145, 0.003001689910888672]
[146, 0.003002166748046875]
[147, 0.0030028820037841797]
[148, 0.0030007362365722656]
[149, 0.0040013790130615234]
[150, 0.003002166748046875]
[151, 0.004502773284912109]
[152, 0.003502368927001953]
[153, 0.003501415252685547]
[154, 0.003501415252685547]
[155, 0.0035028457641601562]
[156, 0.0035021305084228516]
[157, 0.00350189208984375]
[158, 0.003001689910888672]
[159, 0.0035026073455810547]
[160, 0.004503726959228516]
[161, 0.00400233268737793]
[162, 0.0035028457641601562]
[163, 0.004003763198852539]
[164, 0.0040013790130615234]
[165, 0.003502368927001953]
[166, 0.003502368927001953]
[167, 0.004503011703491211]
[168, 0.004003286361694336]
[169, 0.004002571105957031]
[170, 0.0035200119018554688]
[171, 0.004002094268798828]
[172, 0.0035028457641601562]
[173, 0.0049860477447509766]
[174, 0.004484891891479492]
[175, 0.0050165653228759766]
[176, 0.003987789154052734]
[177, 0.004503965377807617]
[178, 0.0045032501220703125]
[179, 0.0045013427734375]
[180, 0.003983974456787109]
[181, 0.005504608154296875]
[182, 0.007002592086791992]
[183, 0.007004737854003906]
[184, 0.005003690719604492]
[185, 0.005002737045288086]
[186, 0.005501508712768555]
[187, 0.004503965377807617]
[188, 0.006504058837890625]
[189, 0.004500150680541992]
[190, 0.0054857730865478516]
[191, 0.005022287368774414]
[192, 0.005484580993652344]
[193, 0.005015134811401367]
[194, 0.0054857730865478516]
[195, 0.006503582000732422]
[196, 0.0050048828125]
[197, 0.007002830505371094]
[198, 0.006486415863037109]
[199, 0.007003068923950195]
[200, 0.006560802459716797]
[201, 0.006006002426147461]
[202, 0.006505489349365234]
[203, 0.005502223968505859]
[204, 0.007505178451538086]
[205, 0.0065059661865234375]
[206, 0.005984783172607422]
[207, 0.007004737854003906]
[208, 0.005503654479980469]
[209, 0.0060231685638427734]
[210, 0.006003856658935547]
[211, 0.00652313232421875]
[212, 0.00600433349609375]
[213, 0.006004810333251953]
[214, 0.006022930145263672]
[215, 0.005986452102661133]
[216, 0.008505821228027344]
[217, 0.00700831413269043]
[218, 0.0075032711029052734]
[219, 0.01300954818725586]
[220, 0.010508060455322266]
[221, 0.008006095886230469]
[222, 0.0070340633392333984]
[223, 0.007504463195800781]
[224, 0.008004188537597656]
[225, 0.010007619857788086]
[226, 0.012509346008300781]
[227, 0.007022380828857422]
[228, 0.012510061264038086]
[229, 0.010506868362426758]
[230, 0.007505893707275391]
[231, 0.00900411605834961]
[232, 0.008504867553710938]
[233, 0.010009527206420898]
[234, 0.012008905410766602]
[235, 0.011507987976074219]
[236, 0.01000666618347168]
[237, 0.010006189346313477]
[238, 0.011507511138916016]
[239, 0.010005950927734375]
[240, 0.010505914688110352]
