[88, 0.00015020370483398438]
[89, 0.00020742416381835938]
[90, 0.00042510032653808594]
[91, 0.0004353523254394531]
[92, 0.0003879070281982422]
[93, 0.00039005279541015625]
[94, 0.0004260540008544922]
[95, 0.00037407875061035156]
[96, 0.00038886070251464844]
[97, 0.0004105567932128906]
[98, 0.0004208087921142578]
[99, 0.00041866302490234375]
[100, 0.0004286766052246094]
[101, 0.0002338886260986328]
[102, 0.00023865699768066406]
[103, 0.00025653839111328125]
[104, 0.00024819374084472656]
[105, 0.00024390220642089844]
[106, 0.0002620220184326172]
[107, 0.0002605915069580078]
[108, 0.0002446174621582031]
[109, 0.00028204917907714844]
[110, 0.0003750324249267578]
[111, 0.000278472900390625]
[112, 0.0002818107604980469]
[113, 0.0002601146697998047]
[114, 0.0002701282501220703]
[115, 0.0002796649932861328]
[116, 0.0003216266632080078]
[117, 0.0002796649932861328]
[118, 0.0003094673156738281]
[119, 0.00030922889709472656]
[120, 0.0002830028533935547]
[121, 0.00032782554626464844]
[122, 0.00031566619873046875]
[123, 0.00034236907958984375]
[124, 0.00033354759216308594]
[125, 0.00032830238342285156]
[126, 0.000347137451171875]
[127, 0.0003361701965332031]
[128, 0.00032806396484375]
[129, 0.00034117698669433594]
[130, 0.0003571510314941406]
[131, 0.0003597736358642578]
[132, 0.00035643577575683594]
[133, 0.0003895759582519531]
[134, 0.0003483295440673828]
[135, 0.00039005279541015625]
[136, 0.0005452632904052734]
[137, 0.0007076263427734375]
[138, 0.0006628036499023438]
[139, 0.00041174888610839844]
[140, 0.0004544258117675781]
[141, 0.0004496574401855469]
[142, 0.0005047321319580078]
[143, 0.00045228004455566406]
[144, 0.00042629241943359375]
[145, 0.00043487548828125]
[146, 0.0004589557647705078]
[147, 0.0004413127899169922]
[148, 0.00045490264892578125]
[149, 0.0004324913024902344]
[150, 0.0004918575286865234]
[151, 0.00046515464782714844]
[152, 0.0006158351898193359]
[153, 0.0009546279907226562]
[154, 0.0009479522705078125]
[155, 0.0009005069732666016]
[156, 0.0007166862487792969]
[157, 0.001161336898803711]
[158, 0.0007436275482177734]
[159, 0.0008020401000976562]
[160, 0.0009455680847167969]
[161, 0.0008563995361328125]
[162, 0.0008504390716552734]
[163, 0.0008084774017333984]
[164, 0.0007762908935546875]
[165, 0.0009834766387939453]
[166, 0.0007836818695068359]
[167, 0.0009760856628417969]
[168, 0.0008604526519775391]
[169, 0.0007922649383544922]
[170, 0.0007510185241699219]
[171, 0.0007970333099365234]
[172, 0.0007610321044921875]
[173, 0.0007989406585693359]
[174, 0.0010304450988769531]
[175, 0.0008134841918945312]
[176, 0.0007717609405517578]
[177, 0.0009381771087646484]
[178, 0.0008246898651123047]
[179, 0.0008151531219482422]
[180, 0.0007750988006591797]
[181, 0.0007863044738769531]
[182, 0.0008251667022705078]
[183, 0.0010464191436767578]
[184, 0.0008077621459960938]
[185, 0.0007998943328857422]
[186, 0.0007941722869873047]
[187, 0.0007956027984619141]
[188, 0.0008716583251953125]
[189, 0.0008101463317871094]
[190, 0.0008618831634521484]
[191, 0.000896453857421875]
[192, 0.0010917186737060547]
[193, 0.0008587837219238281]
[194, 0.0008442401885986328]
[195, 0.0009675025939941406]
[196, 0.0009481906890869141]
[197, 0.0009284019470214844]
[198, 0.0008745193481445312]
[199, 0.0012586116790771484]
[200, 0.0010294914245605469]
[201, 0.0012447834014892578]
[202, 0.001439809799194336]
[203, 0.0011899471282958984]
[204, 0.0015151500701904297]
[205, 0.0009367465972900391]
[206, 0.0009832382202148438]
[207, 0.001695394515991211]
[208, 0.001477956771850586]
[209, 0.0008542537689208984]
[210, 0.0008175373077392578]
[211, 0.0008368492126464844]
[212, 0.0008938312530517578]
[213, 0.0008826255798339844]
[214, 0.0008831024169921875]
[215, 0.000858306884765625]
[216, 0.0009176731109619141]
[217, 0.0009219646453857422]
[218, 0.0009946823120117188]
