[111, 0.0006632804870605469]
[112, 0.0008218288421630859]
[113, 0.0007276535034179688]
[114, 0.0007603168487548828]
[115, 0.0007336139678955078]
[116, 0.000732421875]
[117, 0.0007374286651611328]
[118, 0.0007622241973876953]
[119, 0.0008533000946044922]
[120, 0.0008080005645751953]
[121, 0.0007767677307128906]
[122, 0.0007350444793701172]
[123, 0.0007488727569580078]
[124, 0.0007843971252441406]
[125, 0.0007872581481933594]
[126, 0.0008184909820556641]
[127, 0.0007801055908203125]
[128, 0.0009253025054931641]
[129, 0.0008289813995361328]
[130, 0.0008118152618408203]
[131, 0.0007874965667724609]
[132, 0.0007531642913818359]
[133, 0.0008282661437988281]
[134, 0.0008294582366943359]
[135, 0.0008206367492675781]
[136, 0.0008106231689453125]
[137, 0.00084686279296875]
[138, 0.0009999275207519531]
[139, 0.000873565673828125]
[140, 0.0008635520935058594]
[141, 0.0008573532104492188]
[142, 0.0008945465087890625]
[143, 0.0010852813720703125]
[144, 0.0008718967437744141]
[145, 0.0008907318115234375]
[146, 0.0009133815765380859]
[147, 0.0008671283721923828]
[148, 0.000896453857421875]
[149, 0.0011241436004638672]
[150, 0.0008914470672607422]
[151, 0.0009016990661621094]
[152, 0.0009109973907470703]
[153, 0.0009102821350097656]
[154, 0.0009202957153320312]
[155, 0.0008966922760009766]
[156, 0.0009028911590576172]
[157, 0.0009143352508544922]
[158, 0.0011472702026367188]
[159, 0.0009500980377197266]
[160, 0.0009202957153320312]
[161, 0.0009357929229736328]
[162, 0.0009610652923583984]
[163, 0.0009284019470214844]
[164, 0.0009515285491943359]
[165, 0.0009343624114990234]
[166, 0.0009744167327880859]
[167, 0.0009572505950927734]
[168, 0.0011014938354492188]
[169, 0.000988006591796875]
[170, 0.0009770393371582031]
[171, 0.0009589195251464844]
[172, 0.0009500980377197266]
[173, 0.0009810924530029297]
[174, 0.001051187515258789]
[175, 0.00098419189453125]
[176, 0.001154184341430664]
[177, 0.001009225845336914]
[178, 0.0014040470123291016]
[179, 0.0008540153503417969]
[180, 0.0010237693786621094]
[181, 0.0010232925415039062]
[182, 0.0009944438934326172]
[183, 0.0009760856628417969]
[184, 0.001016855239868164]
[185, 0.001062154769897461]
[186, 0.0010707378387451172]
[187, 0.0011172294616699219]
[188, 0.0012707710266113281]
[189, 0.0011091232299804688]
[190, 0.001066446304321289]
[191, 0.0010881423950195312]
[192, 0.0011014938354492188]
[193, 0.0011019706726074219]
[194, 0.0010869503021240234]
[195, 0.0011348724365234375]
[196, 0.001140594482421875]
[197, 0.0011284351348876953]
[198, 0.0013058185577392578]
[199, 0.0011394023895263672]
[200, 0.001069784164428711]
[201, 0.0011034011840820312]
[202, 0.0010967254638671875]
[203, 0.0011010169982910156]
[204, 0.0010578632354736328]
[205, 0.0011022090911865234]
[206, 0.0011370182037353516]
[207, 0.0011610984802246094]
[208, 0.0017018318176269531]
[209, 0.001352548599243164]
[210, 0.0012269020080566406]
[211, 0.0011615753173828125]
[212, 0.001195669174194336]
[213, 0.001209259033203125]
[214, 0.0011820793151855469]
[215, 0.0012240409851074219]
[216, 0.0012159347534179688]
[217, 0.0014166831970214844]
[218, 0.0011339187622070312]
[219, 0.0011742115020751953]
[220, 0.0011382102966308594]
